Episode,Steps,Foods,C1,C2,Eat,Actor,Alpha,Reward,EatEps,PRBBeta,Stuck,OnFoodWaitMax
184,48,2,6.226399133602778,6.1634092926979065,0.0,6.206932385762532,0.033855974674224854,-98.36,0.02,1.0,48,1
185,305,19,6.873034160645282,6.906770819914145,0.0,6.139904262198776,0.03280320391058922,160.95999999999944,0.02,1.0,305,1
186,70,5,6.561975755010333,6.505881759098598,0.0,5.957740613392422,0.032684363424777985,-81.32999999999998,0.02,1.0,70,1
187,192,17,6.7483682340631885,6.722830260172486,0.0,6.090609433750312,0.03223912790417671,137.00999999999982,0.02,1.0,192,1
188,159,9,6.765866685963277,6.808016315196295,0.0,5.983441693227996,0.03163658455014229,-14.170000000000009,0.02,1.0,159,1
189,238,15,6.6672181607294485,6.657070497504804,0.0,6.0616757699421475,0.0307422187179327,9.569999999999851,0.02,1.0,238,2
190,258,17,7.022407864415368,7.027654026367868,0.0,5.961864466815031,0.029928430914878845,165.2999999999998,0.02,1.0,258,1
191,90,4,6.877659067842695,6.804513879617056,0.0,5.659149572584364,0.029658731073141098,-71.52,0.02,1.0,90,1
192,274,19,6.568529838628143,6.596881575828051,0.0,5.8287712892476655,0.028960734605789185,170.96999999999986,0.02,1.0,274,1
193,383,22,6.623363352319902,6.608922625957519,0.0,5.643727883968901,0.028658760711550713,190.00999999999993,0.02,1.0,383,2
194,189,14,6.689760704835256,6.711579613900058,0.0,5.650551338044424,0.028230905532836914,28.369999999999727,0.02,1.0,189,1
195,224,16,6.445547552513225,6.464264743030071,0.0,5.372172909123557,0.0280644278973341,103.07999999999998,0.02,1.0,224,2
196,267,19,6.664935554457961,6.687041705913758,0.0,5.50373520029618,0.027812965214252472,49.359999999999765,0.02,1.0,267,2
197,276,23,6.712740693403327,6.701900752126306,0.0,5.4731801653253855,0.027966294437646866,187.95000000000016,0.02,1.0,276,2
198,57,1,6.520422437734771,6.5169266629637335,0.0,5.228199331383956,0.027933649718761444,-90.47,0.02,1.0,57,0
199,163,12,6.31296349888199,6.332376271669118,0.0,5.285070417848833,0.027481811121106148,-25.41000000000004,0.02,1.0,163,1
200,268,19,6.483329151048144,6.4954168990031995,0.0,5.281550716997972,0.02697979286313057,158.41999999999973,0.02,1.0,268,1
201,249,16,6.414875571507527,6.4446129751013945,0.0,5.133536086982512,0.026813501492142677,56.08999999999964,0.02,1.0,249,1
202,385,23,6.512990608153405,6.567206109963454,0.0,5.083711846463092,0.027166016399860382,162.77999999999935,0.02,1.0,385,2
203,129,8,6.606618893238926,6.6769226373628126,0.0,4.936846733093262,0.02725457027554512,-27.639999999999965,0.02,1.0,129,1
204,263,20,6.378453852105957,6.407773222306836,0.0,5.0244238594185715,0.027124810963869095,169.65999999999994,0.02,1.0,263,1
205,135,9,6.7938171245433665,6.843272679823416,0.0,4.902079981344717,0.02701513096690178,-36.28000000000002,0.02,1.0,135,1
206,46,2,6.955998161564702,6.894913999930672,0.0,4.868131917455922,0.026997333392500877,-97.40999999999998,0.02,1.0,46,0
207,227,17,6.306800504087876,6.344304921343463,0.0,4.905668034952643,0.02696213498711586,141.45999999999975,0.02,1.0,227,2
208,201,17,6.648762828675076,6.681558257904812,0.0,4.835142338453834,0.026472780853509903,147.6099999999997,0.02,1.0,201,1
209,240,19,6.346749848872423,6.3803257976969086,0.0,4.823021996517976,0.026353972032666206,64.81000000000004,0.02,1.0,240,1
210,253,17,6.277063214260599,6.306240754165197,0.0,4.511143710773453,0.02633938007056713,139.13999999999965,0.02,1.0,253,2
211,305,16,6.491710126595419,6.507627322243862,0.0,4.653157057527636,0.026268132030963898,147.30999999999972,0.02,1.0,305,1
212,162,16,6.312799034295259,6.323457191019882,0.0,4.499039354147734,0.02608673833310604,30.93,0.02,1.0,162,1
213,144,19,6.257621376050843,6.286116258965598,0.0,4.5114257170094385,0.025904064998030663,147.0399999999999,0.02,1.0,144,1
214,180,16,6.580973659621344,6.575505873892042,0.0,4.540579062037998,0.02601776272058487,138.14999999999972,0.02,1.0,180,0
215,190,14,6.611604694316262,6.6382231643325404,0.0,4.285893539378518,0.026185980066657066,15.459999999999908,0.02,1.0,190,1
216,348,23,6.4813629186701505,6.497167957925249,0.0,4.230125758154639,0.026792075484991074,215.21000000000018,0.02,1.0,348,2
217,223,20,6.231805028936788,6.288628306089495,0.0,3.990780941574028,0.02754400297999382,168.41999999999976,0.02,1.0,223,1
218,60,1,6.733931895097097,6.7735172231992085,0.0,4.309883491198222,0.027668124064803123,-107.16999999999999,0.02,1.0,60,1
219,201,14,6.027521045053776,6.040774372679677,0.0,3.804843041434217,0.02834274247288704,17.00999999999985,0.02,1.0,201,1
220,261,17,6.386946864055035,6.403731020702713,0.0,3.7489806568942305,0.028983786702156067,138.57999999999967,0.02,1.0,261,3
221,51,2,6.199620165076911,6.268736619575351,0.0,3.889393811132394,0.02915584295988083,-86.50999999999999,0.02,1.0,51,2
222,48,1,6.334187696377437,6.3371545771757765,0.0,3.7340718557437262,0.02917725220322609,-98.52999999999999,0.02,1.0,48,0
223,219,14,6.271173455399465,6.316092272327371,0.0,3.6748176992756045,0.029315777122974396,131.90999999999988,0.02,1.0,219,1
224,178,12,6.1733085935035446,6.206347298086359,0.0,3.5504797452621246,0.029851922765374184,-1.8099999999999739,0.02,1.0,178,2
225,252,16,6.447393075814323,6.4787894317082,0.0,3.4616244345430345,0.030266009271144867,17.989999999999874,0.02,1.0,252,2
226,358,23,6.494576583028506,6.511959997302327,0.0,3.4711957167646736,0.031583648175001144,226.77000000000035,0.02,1.0,358,1
227,114,13,6.361217126511691,6.37048850352304,0.0,3.327022739669733,0.031945593655109406,14.209999999999958,0.02,1.0,114,0
228,190,14,6.277374174720363,6.289971157124168,0.0,3.197317794122194,0.03200920298695564,111.68,0.02,1.0,190,1
229,249,14,6.2911732828760725,6.288145660396561,0.0,3.115191208310874,0.03229759261012077,22.189999999999877,0.02,1.0,249,2
230,66,6,5.997719847794735,6.038568397363027,0.0,3.157672623793284,0.032532013952732086,-66.75999999999998,0.02,1.0,66,1
231,333,20,6.254056408598617,6.284876689180598,0.0,3.0383414772895723,0.0328865684568882,168.6899999999996,0.02,1.0,333,1
232,156,8,6.0611234085682115,6.091442870023923,0.0,2.911660430714106,0.03287520259618759,-25.01000000000003,0.02,1.0,156,1
233,222,13,6.393946487624366,6.385893193451134,0.0,2.888000182471834,0.03320274502038956,-14.860000000000063,0.02,1.0,222,1
234,105,10,6.451896251950945,6.412125746409099,0.0,2.6395353115740274,0.03324009105563164,-12.96000000000003,0.02,1.0,105,1
235,265,19,6.190103620403217,6.172989058044721,0.0,2.880666142364718,0.03392504155635834,185.4299999999998,0.02,1.0,265,1
